"","x"
"447",535435.779692054
"448",535476.921025391
"449",535484.020485035
"450",535488.731015512
"451",535484.447095225
"452",535674.452077919
"453",535693.813508892
"454",535574.348993032
"455",536923.258538699
"456",538272.168084366
"457",539892.771291069
"458",538393.17887722
"459",536893.586463371
"460",536922.165707763
"461",536645.332578607
"462",536368.499449451
"463",536388.022385077
"464",535757.92473418
"465",535431.036586913
"466",535104.148439646
"467",535111.682325342
"468",535119.216211037
"469",535112.508618196
"470",535936.564957446
"471",537890.133740335
"472",538071.089227152
"473",538886.65719243
"474",539702.225157708
"475",539681.748579771
"476",540085.865128961
"477",539833.981240229
"478",540402.930332801
"479",540348.594865552
"480",540294.259398303
"481",540306.67619815
"482",539090.205878822
"483",538831.672248279
"484",539099.658785612
"485",539222.569108934
"486",539345.479432257
"487",539314.591773807
"488",538554.834349102
"489",536637.464451465
"490",535643.086910162
"491",535109.844266626
"492",535247.250143172
"493",535234.732628078
"494",535406.089790382
"495",535063.422813127
"496",535137.831924154
"497",535061.685792247
"498",534985.539660339
"499",534973.83765755
"500",535185.938788149
"501",535144.594319035
"502",535289.603956904
"503",535912.575750274
"504",536535.547543644
"505",536548.040448783
"506",536703.587002948
"507",537832.589699617
"508",537972.390670002
"509",537665.595813426
"510",537358.80095685
"511",537366.691876446
"512",536825.123223585
"513",536207.516476248
"514",535951.93652041
"515",535233.18183777
"516",535249.31893214
"517",535258.560608453
"518",535622.602622732
"519",535386.07498403
"520",535324.118814853
"521",535696.792765761
"522",535740.815147068
"523",535758.295768312
"524",535681.101626953
"525",535154.510660758
"526",534927.523068794
"527",536231.538626472
"528",537535.55418415
"529",537533.501591493
"530",537005.589969534
"531",536351.064442114
"532",536279.724829901
"533",536382.502055994
"534",536485.279282088
"535",536588.056508181
"536",536690.833734274
"537",536793.610960367
"538",536896.38818646
"539",536999.165412553
"540",537101.942638646
"541",537121.534800217
"542",536982.527150667
"543",536990.779597646
"544",535414.359861906
"545",535578.6139014
"546",535742.867940894
"547",535753.961854393
"548",535616.152456645
"549",535234.187129176
"550",534242.258964462
"551",533260.620889438
"552",533305.672007202
"553",533323.349830485
"554",533312.04896553
"555",533151.404199594
"556",533626.539849381
"557",533538.654523646
"558",533558.52719272
"559",533545.0088696
"560",533328.117418908
"561",533464.155906324
"562",533145.366981539
"563",532811.968511528
"564",532681.381573896
"565",532665.71166931
"566",532935.678551939
"567",532931.600039178
"568",533172.284193229
"569",533153.297585653
"570",533134.310978077
"571",533095.909468806
"572",533331.763324191
"573",533663.621303856
"574",533801.345999976
"575",533877.527479372
"576",533953.708958767
"577",533938.088612244
"578",533966.757361978
"579",534738.376929313
"580",535043.228071147
"581",535043.228071147
"582",535043.228071147
"583",535043.228071147
"584",535043.228071147
"585",535043.228071147
"586",535043.228071147
"587",535043.228071147
"588",535043.228071147
"589",535043.228071147
"590",535043.228071147
"591",535043.228071147
"592",535043.228071147
"593",535043.228071147
"594",535043.228071147
"595",535043.228071147
"596",535043.228071147
"597",535043.228071147
"598",535043.228071147
"599",535043.228071147
"600",535043.228071147
"601",535043.228071147
"602",535043.228071147
"603",535043.228071147
"604",535043.228071147
"605",535043.228071147
"606",535043.228071147
"607",535043.228071147
"608",535043.228071147
"609",535043.228071147
"610",535043.228071147
"611",535043.228071147
"612",535043.228071147
"613",535043.228071147
"614",535043.228071147
"615",535043.228071147
"616",535043.228071147
"617",535043.228071147
"618",535043.228071147
"619",535043.228071147
"620",535043.228071147
"621",535043.228071147
"622",535043.228071147
"623",535043.228071147
"624",535043.228071147
"625",535043.228071147
"626",535043.228071147
"627",535043.228071147
"628",535043.228071147
"629",535043.228071147
"630",535043.228071147
"631",535043.228071147
"632",535043.228071147
"633",535043.228071147
"634",535043.228071147
