"","x"
"725",569228.515289981
"726",569158.738859109
"727",576308.449520419
"728",569667.232383469
"729",569647.939697342
"730",569187.312317112
"731",570873.563150752
"732",569373.393168876
"733",572239.978863823
"734",569559.626108754
"735",564865.226388636
"736",569098.45024707
"737",569261.126750345
"738",569228.070998651
"739",567147.095075022
"740",569431.39353579
"741",570510.37925796
"742",569832.430065741
"743",569382.507592327
"744",571060.530179645
"745",568616.091420733
"746",569743.173874779
"747",569532.972751941
"748",566670.254526368
"749",569186.48395842
"750",568838.009057067
"751",568347.063896108
"752",569649.386484727
"753",569546.467918371
"754",569117.970165725
"755",570738.631839507
"756",571451.176708883
"757",565082.239179482
"758",569613.351373331
"759",570391.732242138
"760",570087.05360426
"761",569239.212346556
"762",569546.540671997
"763",569583.619169532
"764",569748.228799716
"765",569692.834502341
"766",569658.588768555
"767",567198.887536917
"768",569698.130106077
"769",569192.6117151
"770",569537.42193903
"771",569084.036452716
"772",568624.359109993
"773",569801.631202553
"774",568693.973507241
"775",568655.288458882
"776",570112.851108282
"777",570075.266855656
"778",569630.829874539
"779",569161.373300613
"780",569509.544784482
"781",569686.278758483
"782",569703.214385334
"783",571067.317345346
"784",569211.690466586
"785",570780.90862973
"786",568741.566617374
"787",570143.207194159
"788",569288.718762965
"789",569391.131721557
"790",570526.340523967
"791",569614.504436568
"792",568925.810672072
"793",568589.39257746
"794",570142.16499194
"795",569556.814835784
"796",568539.613171645
"797",569713.636329061
"798",572128.97101123
