id,x,y,date,time
220,599361,5799223,12/13/2004,20:00
220,599352,5799615,12/13/2004,22:00
220,599353,5799602,12/14/2004,0:00
220,599337,5799618,12/14/2004,2:00
220,599263,5799198,12/14/2004,4:00
220,598542,5797667,12/14/2004,6:00
220,598491,5797706,12/14/2004,8:01
220,596245,5803614,12/14/2004,10:00
220,596253,5803618,12/14/2004,12:00
220,596248,5803611,12/14/2004,14:00
220,596242,5803633,12/14/2004,16:00
220,596318,5803626,12/14/2004,18:00
220,599335,5799217,12/14/2004,20:01
220,599328,5799576,12/14/2004,22:00
220,599302,5799607,12/15/2004,0:00
220,599658,5799109,12/15/2004,2:01
220,599705,5799470,12/15/2004,4:00
220,600026,5799848,12/15/2004,6:01
220,595304,5805801,12/15/2004,10:00
220,595307,5805833,12/15/2004,12:00
220,595301,5805820,12/15/2004,14:00
220,595305,5805840,12/15/2004,16:01
220,598813,5800927,12/15/2004,18:00
220,599296,5799168,12/15/2004,20:00
220,599096,5798100,12/15/2004,22:00
220,599366,5797643,12/16/2004,0:00
220,599232,5797791,12/16/2004,2:01
220,599151,5797682,12/16/2004,6:01
220,600610,5795207,12/16/2004,8:01
220,597990,5797493,12/16/2004,10:00
220,595508,5801370,12/16/2004,12:00
220,595504,5801359,12/16/2004,14:00
220,595510,5801363,12/16/2004,16:00
220,595499,5801365,12/16/2004,18:00
220,595512,5801375,12/16/2004,20:00
220,594620,5802576,12/16/2004,22:01
220,591086,5805243,12/17/2004,0:01
220,591075,5805213,12/17/2004,2:00
220,591098,5805245,12/17/2004,4:01
220,591090,5805241,12/17/2004,6:00
220,581459,5803185,12/17/2004,12:00
220,584861,5803186,12/17/2004,14:01
220,584841,5803143,12/17/2004,16:01
220,584827,5803148,12/17/2004,18:01
220,584828,5803147,12/17/2004,20:01
220,585641,5803887,12/17/2004,22:01
220,589956,5808556,12/18/2004,0:01
220,595224,5811112,12/18/2004,2:01
220,598641,5810705,12/18/2004,6:00
220,598409,5810663,12/18/2004,8:00
220,597454,5806933,12/18/2004,10:00
220,594729,5806322,12/18/2004,14:01
220,594755,5806323,12/18/2004,18:01
220,594758,5806332,12/18/2004,20:01
220,591753,5805062,12/18/2004,22:00
220,591756,5805055,12/19/2004,0:00
220,591852,5805013,12/19/2004,2:01
220,591871,5804966,12/19/2004,4:01
220,591871,5804965,12/19/2004,6:00
220,591042,5803703,12/19/2004,8:00
220,588764,5802165,12/19/2004,10:01
220,588310,5801831,12/19/2004,12:00
220,588314,5801836,12/19/2004,16:01
220,588365,5801830,12/19/2004,18:01
220,588313,5801831,12/19/2004,20:00
220,589252,5810646,12/20/2004,2:00
220,589227,5810629,12/20/2004,4:01
