"","x_","y_","t_","grid_id"
"314",543667.364,7641211.616,2005-07-26 16:18:00,634
"315",543716.4188,7641190.196,2005-07-26 20:18:00,634
"316",543572.6859,7641182.938,2005-07-27 00:18:00,633
"317",543958.8439,7637926.331,2005-07-27 08:18:00,582
"318",541340.5768,7638267.191,2005-07-27 12:18:00,580
"319",539977.782,7637626.759,2005-07-27 16:18:00,580
"320",540254.0449,7633313.896,2005-07-27 20:18:00,528
"321",540277.5092,7633316.103,2005-07-28 00:18:00,528
"322",541443.1535,7634292.476,2005-07-28 08:18:00,528
"323",541044.0178,7636360.282,2005-07-28 16:18:00,554
"324",541760.4768,7635573.873,2005-07-28 20:18:00,555
"325",541793.8071,7635608.276,2005-07-29 00:18:00,555
"326",541543.654,7632191.456,2005-07-29 12:18:00,502
"327",545855.8401,7633639.48,2005-07-29 16:18:00,531
"328",550499.0592,7635405.121,2005-07-29 20:18:00,559
"329",552180.1606,7634423.161,2005-07-30 00:18:00,534
"330",552716.6575,7627103.274,2005-07-30 08:18:00,456
"331",552731.809,7627103.299,2005-07-30 12:18:00,456
"332",554631.8309,7621313.327,2005-07-30 16:18:00,379
"333",554730.1912,7619975.993,2005-07-30 20:18:00,353
"334",554713.5707,7620006.595,2005-07-31 00:18:00,353
"335",552578.2102,7619995.198,2005-07-31 12:18:00,352
"336",548207.9698,7619073.624,2005-07-31 16:18:00,350
"337",544617.8245,7619067.067,2005-07-31 20:18:00,348
"338",541872.339,7619445.57,2005-08-01 00:18:00,347
"339",541314.9348,7618897.482,2005-08-01 08:18:00,346
"340",541342.3286,7618945.406,2005-08-01 12:18:00,346
"341",536281.209,7618067.937,2005-08-01 16:18:00,318
"342",535442.9555,7617988.917,2005-08-01 20:18:00,317
"343",535436.714,7618130.58,2005-08-02 00:18:00,317
"344",535446.612,7618042.364,2005-08-02 08:18:00,317
"345",535435.3996,7618054.435,2005-08-02 12:18:00,317
"346",535481.4296,7617745.057,2005-08-02 16:18:00,317
"347",535555.5119,7618185.217,2005-08-02 20:18:00,317
"348",537960.9025,7618317.395,2005-08-03 00:18:00,319
"349",538636.6455,7614362.584,2005-08-03 08:18:00,267
"350",538585.6115,7614525.863,2005-08-03 12:18:00,293
"351",538940.3489,7613394.176,2005-08-03 16:18:00,267
"352",539497.469,7612975.562,2005-08-03 20:18:00,267
"353",539925.5843,7610695.711,2005-08-04 00:18:00,242
"354",537596.0982,7614049.854,2005-08-04 08:18:00,266
