t,x,y,datetime
487,538554.8343,7611157.871,2005-08-12 16:18
488,536637.4645,7613090.043,2005-08-12 20:18
489,535643.0869,7613193.264,2005-08-13 0:18
490,535109.8443,7614698.539,2005-08-13 4:18
491,535247.2501,7614660.979,2005-08-13 8:18
492,535234.7326,7614673.041,2005-08-13 12:18
493,535406.0898,7614754.987,2005-08-13 16:18
494,535063.4228,7614780.044,2005-08-13 20:18
495,535137.8319,7614767.962,2005-08-14 0:18
497,534985.5397,7614456.659,2005-08-14 8:18
498,534973.8377,7614452.716,2005-08-14 12:18
499,535185.9388,7614810.71,2005-08-14 16:18
500,535144.5943,7614648.484,2005-08-14 20:18
501,535289.604,7614673.652,2005-08-15 0:18
503,536535.5475,7614099.871,2005-08-15 8:18
504,536548.0404,7614122.47,2005-08-15 12:18
505,536703.587,7613282.343,2005-08-15 16:18
506,537832.5897,7611492.974,2005-08-15 20:18
507,537972.3907,7611950.817,2005-08-16 0:18
509,537358.801,7613172.798,2005-08-16 8:18
510,537366.6919,7613189.933,2005-08-16 12:18
511,536825.1232,7613865.818,2005-08-16 16:18
512,536207.5165,7614461.523,2005-08-16 20:18
513,535951.9365,7614463.753,2005-08-17 0:18
514,535233.1818,7614692.596,2005-08-17 4:18
515,535249.3189,7614797.713,2005-08-17 8:18
516,535258.5606,7614801.267,2005-08-17 12:18
517,535622.6026,7615196.596,2005-08-17 16:18
518,535386.075,7615021.174,2005-08-17 20:18
519,535324.1188,7614842.237,2005-08-18 0:18
520,535696.7928,7615188.799,2005-08-18 4:18
521,535740.8151,7615174.118,2005-08-18 8:18
522,535758.2958,7615148.698,2005-08-18 12:18
523,535681.1016,7615148.742,2005-08-18 16:18
524,535154.5107,7614923.265,2005-08-18 20:18
525,534927.5231,7614302.02,2005-08-19 0:18
527,537535.5542,7612737.24,2005-08-19 8:18
528,537533.5016,7612743.487,2005-08-19 12:18
529,537005.59,7613561.349,2005-08-19 16:18
530,536351.0644,7614486.743,2005-08-19 20:18
531,536279.7248,7614554.248,2005-08-20 0:18
539,537101.9426,7613539.874,2005-08-21 8:18
540,537121.5348,7613523.392,2005-08-21 12:18
541,536982.5272,7613753.524,2005-08-21 16:18
542,536990.7796,7613033.296,2005-08-21 20:18
543,535414.3599,7613257.989,2005-08-22 0:18
545,535742.8679,7615158.766,2005-08-22 8:18
546,535753.9619,7615174.294,2005-08-22 12:18
547,535616.1525,7616189.491,2005-08-22 16:18
548,535234.1871,7616396.327,2005-08-22 20:18
549,534242.259,7618480.212,2005-08-23 0:18
550,533260.6209,7618714.912,2005-08-23 4:18
551,533305.672,7618810.238,2005-08-23 8:18
552,533323.3498,7618819.439,2005-08-23 12:18
553,533312.049,7618503.767,2005-08-23 16:18
554,533151.4042,7618506.679,2005-08-23 20:18
555,533626.5398,7618388.184,2005-08-24 0:18
556,533538.6545,7617899.586,2005-08-24 4:18
557,533558.5272,7618368.136,2005-08-24 8:18
558,533545.0089,7618365.302,2005-08-24 12:18
559,533328.1174,7618574.744,2005-08-24 16:18
560,533464.1559,7618477.496,2005-08-24 20:18
561,533145.367,7618189.053,2005-08-25 0:18
562,532811.9685,7618318.947,2005-08-25 4:18
563,532681.3816,7618270.565,2005-08-25 8:18
564,532665.7117,7618269.915,2005-08-25 12:18
565,532935.6786,7618282.582,2005-08-25 16:18
566,532931.6,7618014.916,2005-08-25 20:18
567,533172.2842,7617779.372,2005-08-26 0:18
569,533134.311,7618520.448,2005-08-26 8:18
570,533095.9095,7618504.981,2005-08-26 12:18
571,533331.7633,7618668.339,2005-08-26 16:18
572,533663.6213,7617471.277,2005-08-26 20:18
573,533801.346,7616172.94,2005-08-27 0:18
575,533953.709,7616061.537,2005-08-27 8:18
576,533938.0886,7616103.884,2005-08-27 12:18
577,533966.7574,7615816.846,2005-08-27 16:18
578,534738.3769,7615767.521,2005-08-27 20:18
579,535043.2281,7616349.963,2005-08-28 0:18
2065,553009.1939,7619288.243,2006-05-02 16:18
2066,553032.8631,7619277.794,2006-05-02 20:18
2067,553013.8175,7619315.606,2006-05-03 0:18
2073,553271.7108,7619560.597,2006-05-04 0:18
2074,553206.397,7619058.034,2006-05-04 4:18
2076,553166.8848,7619051.104,2006-05-04 12:18
2077,553209.2762,7619017.315,2006-05-04 16:18
2078,553360.361,7619021.117,2006-05-04 20:18
2079,553215.9996,7619056.33,2006-05-05 0:18
2080,553207.9688,7619025.877,2006-05-05 4:18
2081,553206.0229,7619032.422,2006-05-05 8:18
2082,553237.6336,7619050.391,2006-05-05 12:18
2083,553528.3827,7619102.398,2006-05-05 16:18
2084,553431.8351,7619163.71,2006-05-05 20:18
2085,553656.4932,7619189.907,2006-05-06 0:18
2086,553708.3309,7619165.55,2006-05-06 4:18
2087,553693.217,7619148.613,2006-05-06 8:18
2088,553683.357,7619144.8,2006-05-06 12:18
2089,553681.5817,7619140.997,2006-05-06 16:18
2090,553926.7687,7619137,2006-05-06 20:18
2091,553743.5984,7620074.277,2006-05-07 0:18
2092,553729.7189,7620112.214,2006-05-07 4:18
2093,553703.2351,7620120.283,2006-05-07 8:18
2094,553741.9233,7620106.439,2006-05-07 12:18
2095,553933.6438,7619931.764,2006-05-07 16:18
2096,553959.9775,7619857.686,2006-05-07 20:18
2097,554220.7963,7619734.966,2006-05-08 0:18
2098,554236.3593,7619716.34,2006-05-08 4:18
2099,554269.0323,7619742.947,2006-05-08 8:18
2100,554245.677,7619730.994,2006-05-08 12:18
2101,554099.4896,7619747.838,2006-05-08 16:18
2102,554172.9611,7619835.452,2006-05-08 20:18
2103,553674.926,7619188.108,2006-05-09 0:18
